label,question,sentence
1,Where is the Kingdom of Pergamon?,"After Alexander the Great's ventures in the Persian Empire, Hellenistic kingdoms were established throughout south-west Asia (Seleucid Empire, Kingdom of Pergamon), north-east Africa (Ptolemaic Kingdom) and South Asia (Greco-Bactrian Kingdom, Indo-Greek Kingdom)."
0,When were the papal terms for submission accepted?,"John paid some of the compensation money he had promised the church, but he ceased making payments in late 1214, leaving two-thirds of the sum unpaid; Innocent appears to have conveniently forgotten this debt for the good of the wider relationship."
1,How many Qianhu offices were there?,"The Mingshi states that administrative offices were set up under these high commanderies, including one Itinerant Commandery, three Pacification Commissioner's Offices, six Expedition Commissioner's Offices, four Wanhu offices (myriarchies, in command of 10,000 households each) and seventeen Qianhu offices (chiliarchies, each in command of 1,000 households)."
1,What fault tore in two places?,"Japanese seismologist Yuji Yagi at the University of Tsukuba said that the earthquake occurred in two stages: ""The 155-mile Longmenshan Fault tore in two sections, the first one ripping about seven yards, followed by a second one that sheared four yards."""
1,What was Tito's former name?,"As the Communist Party was outlawed in Yugoslavia starting on 30 December 1920, Josip Broz took on many assumed names during his activity within the Party, including ""Rudi"", ""Walter"", and ""Tito."""
0,When did Sikhism begin?,"After fighting Ahmad Shah Durrani in the later eighteenth century, the Sikhs took control of Punjab and managed to establish the Sikh Empire under Maharaja Ranjit Singh, which lasted from 1799 to 1849."
1,When did Prince Charles write to Burke?,"Burke believed the Government was not taking the uprising seriously enough, a view reinforced by a letter he had received from the Prince Charles of France (S.A.R. le comte d'Artois), dated 23 October, requesting that he intercede on behalf of the royalists to the Government."
0,Which pramanas is understanding of experts?,"For example, the Cārvāka nāstika philosophy holds that only one (perception) is an epistemically reliable means of knowledge, the Samkhya school holds three are (perception, inference and testimony), while the Mīmāṃsā and Advaita schools hold all six are epistemically useful and reliable means to knowledge."
1,Who founded the Han dynasty?,"It was founded by the rebel leader Liu Bang, known posthumously as Emperor Gaozu of Han, and briefly interrupted by the Xin dynasty (9–23 AD) of the former regent Wang Mang."
0,How many counties does Oklahoma have?,"Oklahoma has two courts of last resort: the state Supreme Court hears civil cases, and the state Court of Criminal Appeals hears criminal cases (this split system exists only in Oklahoma and neighboring Texas)."
1,What ideaology is found in the natural sciences?,"In this way the idea of race as we understand it today came about during the historical process of exploration and conquest which brought Europeans into contact with groups from different continents, and of the ideology of classification and typology found in the natural sciences."
1,Who wrote The Case Against Christianity?,"Philosopher Michael Martin, in his book The Case Against Christianity, evaluated three historical Christian creeds (the Apostles' Creed, the Nicene Creed and the Athanasian Creed) to establish a set of basic assumptions which include belief in theism, the historicity of Jesus, the Incarnation, salvation through faith in Jesus, and Jesus as an ethical role model."
0,What was Tito's form of communism called?,"The event was significant not only for Yugoslavia and Tito, but also for the global development of socialism, since it was the first major split between Communist states, casting doubt on Comintern's claims for socialism to be a unified force that would eventually control the whole world, as Tito became the first (and the only successful) socialist leader to defy Stalin's leadership in the COMINFORM."
0,What is a noted hotel brand throughout North America?,"The original services of an inn are now also available at other establishments, such as hotels, lodges, and motels, which focus more on lodging customers than on other services, although they usually provide meals; pubs, which are primarily alcohol-serving establishments; and restaurants and taverns, which serve food and drink."
1,Who were Virgil's literary executors?,"Augustus ordered Virgil's literary executors, Lucius Varius Rufus and Plotius Tucca, to disregard Virgil's own wish that the poem be burned, instead ordering it published with as few editorial changes as possible."
1,What harms the adherence to the Constitution in Thailand?,"Ancient prejudices and political bias have been present in the three branches of government with each of their foundings, and justice has been processed formally according to the law but in fact more closely aligned with royalist principles that are still advocated in the 21st century.[citation needed]"
1,What features were removed in the SNS-101?,"Like the earlier redesign of the NES (the NES-101 model), the new model was slimmer and lighter than its predecessor, but it lacked S-Video and RGB output, and it was among the last major SNES-related releases in the region."
0,When did Filipinos start migrating to Mexico City?,"On the other hand, Mexico City is also home to large communities of expatriates and immigrants, most notably from the rest of North America (U.S. and Canada), from South America (mainly from Argentina and Colombia, but also from Brazil, Chile, Uruguay and Venezuela), from Central America and the Caribbean (mainly from Cuba, Guatemala, El Salvador, Haiti and Honduras); from Europe (mainly from Spain, Germany and Switzerland, but also from Czech Republic, Hungary, France, Italy, Ireland, the Netherlands, Poland and Romania), from the Middle East (mainly from Egypt, Lebanon and Syria); and recently from Asia-Pacific (mainly from China and South Korea)."
1,Who has not been brought to justice?,"However questions still remain, as some of the corrupt government officials have still not been brought to justice, while the many families who lost their only child, are still seeking compensation and justice to what had happened."
1,What direction are the Tortolita Mountains from Tuscon?,"Tucson is situated on an alluvial plain in the Sonoran desert, surrounded by five minor ranges of mountains: the Santa Catalina Mountains and the Tortolita Mountains to the north, the Santa Rita Mountains to the south, the Rincon Mountains to the east, and the Tucson Mountains to the west."
1,Who took the place of Konayev?,"The ""Jeltoqsan"" (Kazakh for ""December"") of 1986 were riots in Alma-Ata, Kazakhstan, sparked by Gorbachev's dismissal of Dinmukhamed Konayev, the First Secretary of the Communist Party of Kazakhstan and an ethnic Kazakh, who was replaced with Gennady Kolbin, an outsider from the Russian SFSR."
0,Who invented track lighting?,"It has regained some popularity recently in low-voltage tracks, which often look nothing like their predecessors because they do not have the safety issues that line-voltage systems have, and are therefore less bulky and more ornamental in themselves."
0,What was the total amount of the rescue package given to Greece?,"As a consequence, there was a crisis in international confidence in Greece's ability to repay its sovereign debt, as reflected by the rise of the country's borrowing rates (although their slow rise – the 10-year government bond yield only exceeded 7% in April 2010 – coinciding with a large number of negative articles, has led to arguments about the role of international news media in the evolution of the crisis)."
0,What was PlayStation 3's toughest competitor in the video game market?,"Furthermore, PS3 had to compete directly with Xbox 360 which had a market head start, and as a result the platform no longer had exclusive titles that the PS2 enjoyed such as the Grand Theft Auto and Final Fantasy series (regarding cross-platform games, Xbox 360 versions were generally considered superior in 2006, although by 2008 the PS3 versions had reached parity or surpassed), and it took longer than expected for PS3 to enjoy strong sales and close the gap with Xbox 360."
1,What Tennessee recording company first promoted Elvis Presley?,"Memphis is also home to Sun Records, where musicians such as Elvis Presley, Johnny Cash, Carl Perkins, Jerry Lee Lewis, Roy Orbison, and Charlie Rich began their recording careers, and where rock and roll took shape in the 1950s.[not verified in body]"
1,Who wrote the Germania?,"Tacitus wrote in his Germania: Germania 9.6: Ceterum nec cohibere parietibus deos neque in ullam humani oris speciem adsimulare ex magnitudine caelestium arbitrator – ""The Germans, however, do not consider it consistent with the grandeur of celestial beings to confine the gods within walls, or to liken them to the form of any human countenance."""
1,What is Korsakoff's syndrome?,"Korsakoff's syndrome, also known as Korsakoff's psychosis, amnesic-confabulatory syndrome, is an organic brain disease that adversely affects memory by widespread loss or shrinkage of neurons within the prefrontal cortex."
0,What attracts planets and celestial items?,"The energy levels of hydrogen can be calculated fairly accurately using the Bohr model of the atom, which conceptualizes the electron as ""orbiting"" the proton in analogy to the Earth's orbit of the Sun."
1,What percentage of teens say they text every day?,"Several sources report a high proportion of adolescents who use social media: 73% of 12–17 year olds reported having at least one social networking profile; two-thirds (68%) of teens text every day, half (51%) visit social networking sites daily, and 11% send or receive tweets at least once every day."
1,What is Seattle's gay pride parade called?,"Among Seattle's prominent annual fairs and festivals are the 24-day Seattle International Film Festival, Northwest Folklife over the Memorial Day weekend, numerous Seafair events throughout July and August (ranging from a Bon Odori celebration to the Seafair Cup hydroplane races), the Bite of Seattle, one of the largest Gay Pride festivals in the United States, and the art and music festival Bumbershoot, which programs music as well as other art and entertainment over the Labor Day weekend."
0,What year was the Battle of Bloody Ridge?,"October–25 November 1952), the Battle of Hill Eerie (21 March–21 June 1952), the sieges of Outpost Harry (10–18 June 1953), the Battle of the Hook (28–29 May 1953), the Battle of Pork Chop Hill (23 March–16 July 1953), and the Battle of Kumsong (13–27 July 1953)."
0,How many planning districts make up Philadelphia?,"The zoning changes were intended to rectify incorrect zoning mapping that would streamline future community preferences and development, which the city forecasts an additional 100,000 residents and 40,000 jobs to be added to Philadelphia in 2035."
1,What does the Omni processor do,"The aim of the ""Omni Processor"" is to convert excreta (for example fecal sludge) into beneficial products such as energy and soil nutrients with the potential to develop local business and revenue."
1,John treated Hugh with what?,"Rather than negotiating some form of compensation, John treated Hugh ""with contempt""; this resulted in a Lusignan uprising that was promptly crushed by John, who also intervened to suppress Raoul in Normandy."
1,How can DC motor turn universal?,"DC commutating electric motors, if fitted with laminated pole pieces, become universal motors because they can also operate on AC; reversing the current in both stator and rotor does not reverse the motor."
1,Orthodox Jewish groups reject what precedent?,"The Orthodox Jewish movements consider all non-Orthodox Jewish movements to be unacceptable deviations from authentic Judaism; both because of other denominations' doubt concerning the verbal revelation of Written and Oral Torah, and because of their rejection of Halakhic precedent as binding."
0,What is the two step process?,"The ""sons"" made during a ""three-step"" electroforming make better stampers since they don't require silver removal (which reduces some high fidelity because of etching erasing part of the smallest groove modulations) and also because they have a stronger metal structure than ""fathers""."
0,What does the abbreviation STOIC stand for?,The department had bought an early AMPEX Type A 1-inch videotape recorder and this was used to produce an occasional short news programme which was then played to students by simply moving the VTR and a monitor into a common room.
1,And what was Benigno Andrade's?,"Among the attempts at resistance were small leftist guerrilla groups such as those led by José Castro Veiga (""El Piloto"") and Benigno Andrade (""Foucellas""), both of whom were ultimately captured and executed."
0,What was the purpose of record album covers?,"By about 1910,[note 1] bound collections of empty sleeves with a paperboard or leather cover, similar to a photograph album, were sold as record albums that customers could use to store their records (the term ""record album"" was printed on some covers)."
0,where was jesse saunders from?,"On and On is sometimes cited as the 'first house record', though other examples from around that time, such as J.M. Silk's ""Music is the Key"" (1985), have also been cited."
1,In what year was construction on the Flinders Street Station completed?,"Some of the most architecturally noteworthy historic buildings include the World Heritage Site-listed Royal Exhibition Building, constructed over a two-year period for the Melbourne International Exhibition in 1880, A.C. Goode House, a Neo Gothic building located on Collins Street designed by Wright, Reed & Beaver (1891), William Pitt's Venetian Gothic style Old Stock Exchange (1888), William Wardell's Gothic Bank (1883) which features some of Melbourne's finest interiors, the incomplete Parliament House, St Paul's Cathedral (1891) and Flinders Street Station (1909), which was the busiest commuter railway station in the world in the mid-1920s."
1,When did the case of Epperson v. Arkansas take place?,"In Epperson v. Arkansas, 393 U.S. 97 (1968), the Supreme Court considered an Arkansas law that made it a crime ""to teach the theory or doctrine that mankind ascended or descended from a lower order of animals,"" or ""to adopt or use in any such institution a textbook that teaches"" this theory in any school or university that received public funds."
0,When did the Südharzrevier close?,"These are the Südharzrevier in the north of the state, between Bischofferode in the west and Roßleben in the east with Sondershausen at its centre, and the Werrarevier on the Hessian border around Vacha and Bad Salzungen in the west."
0,Who replaced Youlou?,Fulbert Youlou ruled as the country's first president until labour elements and rival political parties instigated a three-day uprising that ousted him.
0,What became the aristocracy's primary occupation?,"Whereas the first phase of shōen development in the early Heian period had seen the opening of new lands and the granting of the use of lands to aristocrats and religious institutions, the second phase saw the growth of patrimonial ""house governments,"" as in the old clan system."
0,What country lost Franco-Prussian war?,"The balance of power between the Great Powers became a major influence in European politics, prompting Otto von Bismarck to say ""All politics reduces itself to this formula: try to be one of three, as long as the world is governed by the unstable equilibrium of five great powers."""
0,What was Roscoe Jackson's nickname?,"Two Kentucky hangings were conducted after Galena in which numerous persons were present within a wooden stockade, that of John ""Peter"" Montjoy in Covington, Kentucky on December 17, 1937, and that of Harold Van Venison in Covington on June 3, 1938."
1,What ethnicity is Carl Schurz?,"After Heine's German birthplace of Düsseldorf had rejected, allegedly for anti-Semitic motives, a centennial monument to the radical German-Jewish poet (1797–1856), his incensed German-American admirers, including Carl Schurz, started a movement to place one instead in Midtown Manhattan, at Fifth Avenue and 59th Street."
1,When was Oklahoma's border determined?,"In the 1890s, when Oklahoma was formally surveyed using more accurate surveying equipment and techniques, it was discovered that the Texas line was not set along the 103rd Meridian."
1,"For what was ""Evangel from Reims"" named?","The most notable are the ""Missal of Duke Novak"" from the Lika region in northwestern Croatia (1368), ""Evangel from Reims"" (1395, named after the town of its final destination), Hrvoje's Missal from Bosnia and Split in Dalmatia (1404), and the first printed book in Serbo-Croatian, the Glagolitic Missale Romanum Glagolitice (1483)."
1,What 24-hour rapid transit system is outside the United States?,"Like the New York City Subway, the PATH operates 24 hours a day; meaning three of the six rapid transit systems in the world which operate on 24-hour schedules are wholly or partly in New York (the others are a portion of the Chicago 'L', the PATCO Speedline serving Philadelphia, and the Copenhagen Metro)."
1,Who were subject to huge taxes?,"The Jews, who held a vulnerable position in medieval England, protected only by the king, were subject to huge taxes; £44,000 was extracted from the community by the tallage of 1210; much of it was passed on to the Christian debtors of Jewish moneylenders.[nb 12]"
1,Where did Beyoncé get pregnant?,"In April 2011, Beyoncé and Jay Z traveled to Paris in order to shoot the album cover for her 4, and unexpectedly became pregnant in Paris."
1,Who founded Bern?,"According to 14th century historiography (Cronica de Berno, 1309), Bern was founded in 1191 by Berthold V, Duke of Zähringen."
1,What period followed the Han dynasty?,"The Han dynasty (Chinese: 漢朝; pinyin: Hàn cháo) was the second imperial dynasty of China, preceded by the Qin dynasty (221–207 BC) and succeeded by the Three Kingdoms period (220–280 AD)."
0,Which nation formed the nucleus of the Warsaw Pact?,"The Warsaw Pact was created in reaction to the integration of West Germany into NATO in 1955 per the Paris Pacts of 1954, but it is also considered to have been motivated by Soviet desires to maintain control over military forces in Central and Eastern Europe."
1,Where is eating insects considered taboo?,"Insects have a high protein content for their mass, and some authors suggest their potential as a major source of protein in human nutrition.:10–13 In most first-world countries, however, entomophagy (the eating of insects), is taboo."
0,What established The European Central Bank?,"The European Central Bank (ECB) is the central bank for the euro and administers monetary policy of the Eurozone, which consists of 19 EU member states and is one of the largest currency areas in the world."
1,What were preserved in typical bronze inscriptions?,"As early as the Shang dynasty, oracle-bone script coexisted as a simplified form alongside the normal script of bamboo books (preserved in typical bronze inscriptions), as well as the extra-elaborate pictorial forms (often clan emblems) found on many bronzes."
1,Where is the most common application of tile mosaics?,"A tile mosaic is a digital image made up of individual tiles, arranged in a non-overlapping fashion, e.g. to make a static image on a shower room or bathing pool floor, by breaking the image down into square pixels formed from ceramic tiles (a typical size is 1 in × 1 in (25 mm × 25 mm), as for example, on the floor of the University of Toronto pool, though sometimes larger tiles such as 2 in × 2 in (51 mm × 51 mm) are used)."
0,Why was plant taxonomy developed?,"Botany originated in prehistory as herbalism with the efforts of early humans to identify – and later cultivate – edible, medicinal and poisonous plants, making it one of the oldest branches of science."
0,When did the vinyl LP records Era begin?,"In the 1930s, record companies began issuing collections of 78 rpm records by one performer or of one type of music in specially assembled albums, typically with artwork on the front cover and liner notes on the back or inside cover."
1,When did the aftermath of the Southwest Airlines inspection scandal happen?,"On July 22, 2008, in the aftermath of the Southwest Airlines inspection scandal, a bill was unanimously approved in the House to tighten regulations concerning airplane maintenance procedures, including the establishment of a whistleblower office and a two-year ""cooling off"" period that FAA inspectors or supervisors of inspectors must wait before they can work for those they regulated."
0,Who founded Selfridges in 1909?,"Selfridge attracted shoppers with educational and scientific exhibits; – in 1909, Louis Blériot's monoplane was exhibited at Selfridges (Blériot was the first to fly over the English Channel), and the first public demonstration of television by John Logie Baird took place in the department store in 1925."
1,What did evangelicals want to keep apart?,"Steven Waldman notes that; ""The evangelicals provided the political muscle for the efforts of Madison and Jefferson, not merely because they wanted to block official churches but because they wanted to keep the spiritual and secular worlds apart."""
1,When did Lord Bathurst die?,"Among the reasons this speech was so greatly admired was its passage on Lord Bathurst (1684–1775); Burke describes an angel in 1704 prophesying to Bathurst the future greatness of England and also of America: ""Young man, There is America – which at this day serves little more than to amuse you with stories of savage men, and uncouth manners; yet shall, before you taste of death, shew itself equal to the whole of that commerce which now attracts the envy of the world""."
1,What does esse est percipi mean?,"Proponents include Berkeley, Bishop of Cloyne, an Anglo-Irish philosopher who advanced a theory he called immaterialism, later referred to as ""subjective idealism"", contending that individuals can only know sensations and ideas of objects directly, not abstractions such as ""matter"", and that ideas also depend upon being perceived for their very existence - esse est percipi; ""to be is to be perceived""."
1,When did the capital of the Roman Empire move to Constantinople?,"The Hellenistic period may be seen to end either with the final conquest of the Greek heartlands by Rome in 146 BC following the Achean War, with the final defeat of the Ptolemaic Kingdom at the Battle of Actium in 31 BC, or even the move by Roman emperor Constantine the Great of the capital of the Roman Empire to Constantinople in 330 AD."
0,What do heavily laden aircraft sometimes require the assistance from?,"Another disadvantage is on mixed flight deck operations where helicopters are also present such as a US Landing Helicopter Dock or Landing Helicopter Assault amphibious assault ship a ski jump is not included as this would eliminate one or more helicopter landing areas, this flat deck limits the loading of Harriers but is somewhat mitigated by the longer rolling start provided by a long flight deck compared to many STOVL carriers."
1,What technology is part of a WISP?,"Technology may include commonplace Wi-Fi wireless mesh networking, or proprietary equipment designed to operate over open 900 MHz, 2.4 GHz, 4.9, 5.2, 5.4, 5.7, and 5.8 GHz bands or licensed frequencies such as 2.5 GHz (EBS/BRS), 3.65 GHz (NN) and in the UHF band (including the MMDS frequency band) and LMDS.[citation needed]"
0,When did Stadtrepublik become a part of Alsace?,"Alsace is frequently mentioned with and as part of Lorraine and the former duchy of Lorraine, since it was a vital part of the duchy, and later because German possession as the imperial province (Alsace-Lorraine, 1871–1918) was contested in the 19th and 20th centuries; France and Germany exchanged control of parts of Lorraine (including Alsace) four times in 75 years."
0,What is the July Monarchy?,"The ensuing period is called the Restoration, following French usage, and is characterized by a sharp conservative reaction and the re-establishment of the Roman Catholic Church as a power in French politics."
1,Who controlled Eastern Armenia between the 16 and 19th Century?,"From the mid 16th century with the Peace of Amasya, and decisively from the first half of the 17th century with the Treaty of Zuhab until the first half of the 19th century, Eastern Armenia was ruled by the successive Iranian Safavid, Afsharid and Qajar empires, while Western Armenia remained under Ottoman rule."
0,When was the Treaty of Le Goulet negotiated?,"Both sides paused for desultory negotiations before the war recommenced; John's position was now stronger, thanks to confirmation that the counts Baldwin IX of Flanders and Renaud of Boulogne had renewed the anti-French alliances they had previously agreed to with Richard."
1,How many Jews live in Canada?,"According to a report published in 2014, about 43% of all Jews reside in Israel (6.1 million), and 40% in the United States (5.7 million), with most of the remainder living in Europe (1.4 million) and Canada (0.4 million)."
0,On what date was Fred Adams hanged?,"Two Kentucky hangings were conducted after Galena in which numerous persons were present within a wooden stockade, that of John ""Peter"" Montjoy in Covington, Kentucky on December 17, 1937, and that of Harold Van Venison in Covington on June 3, 1938."
1,What was the nationality of Estêvão Gomes?,"A Spanish expedition led by captain Estêvão Gomes, a Portuguese sailing for Emperor Charles V, arrived in New York Harbor in January 1525 aboard the purpose-built caravel ""La Anunciada"" and charted the mouth of the Hudson River, which he named Rio de San Antonio."
1,What use the traditional radical-based character index?,"Most modern Chinese dictionaries and Chinese dictionaries sold to English speakers use the traditional radical-based character index in a section at the front, while the main body of the dictionary arranges the main character entries alphabetically according to their pinyin spelling."
1,Those with low levels of identity diffusion are classified as what?,"Here, with respect to identity diffusion for example, an optimal level is interpreted as the norm, as it is unrealistic to expect an individual to resolve all their conflicted identifications with others; therefore we should be alert to individuals with levels which are much higher or lower than the norm – highly diffused individuals are classified as diffused, and those with low levels as foreclosed or defensive."
1,Many researchers prefer what term?,"However, Canis familiaris is sometimes used due to an ongoing nomenclature debate because wild and domestic animals are separately recognizable entities and that the ICZN allowed users a choice as to which name they could use, and a number of internationally recognized researchers prefer to use Canis familiaris."
1,What are prakritisms?,"In some contexts, there are also more ""prakritisms"" (borrowings from common speech) than in Classical Sanskrit proper."
1,Which entity runs Nigeria's bone marrow donation program?,"In 2012, a new bone marrow donor program was launched by the University of Nigeria to help people with leukaemia, lymphoma, or sickle cell disease to find a compatible donor for a life-saving bone marrow transplant, which cures them of their conditions."
0,What firm managed Kanye West's rap group?,"Because of his association with D-Dot, West wasn't able to release a solo album, so he formed and became a member and producer of the Go-Getters, a late-1990s Chicago rap group composed of him, GLC, Timmy G, Really Doe, and Arrowstar."
0,What has no electric charge?,"Vacuum does not mean that the curvature of space-time is necessarily flat: the gravitational field can still produce curvature in a vacuum in the form of tidal forces and gravitational waves (technically, these phenomena are the components of the Weyl tensor)."
1,Which amendment contains the Equal Protection Clause?,"In 1989 the Supreme Court of the United States declared the Board of Estimate unconstitutional on the grounds that Brooklyn, the most populous borough, had no greater effective representation on the Board than Staten Island, the least populous borough, a violation of the Fourteenth Amendment's Equal Protection Clause pursuant to the high court's 1964 ""one man, one vote"" decision."
1,Why did the Pan American Health Organization release this statement?,"In 2012, the Pan American Health Organization (the North and South American branch of the World Health Organization) released a statement cautioning against services that purport to ""cure"" people with non-heterosexual sexual orientations as they lack medical justification and represent a serious threat to the health and well-being of affected people, and noted that the global scientific and professional consensus is that homosexuality is a normal and natural variation of human sexuality and cannot be regarded as a pathological condition."
1,When is Slovak morphology more regular than Czech?,"One study showed that Czech and Slovak lexicons differed by 80 percent, but this high percentage was found to stem primarily from differing orthographies and slight inconsistencies in morphological formation; Slovak morphology is more regular (when changing from the nominative to the locative case, Praha becomes Praze in Czech and Prahe in Slovak)."
0,What can solo performers exhibit during a cadenza?,"Improvisation is also an important aspect in authentic performances of operas of Baroque era and of bel canto (especially operas of Vincenzo Bellini), and is best exemplified by the da capo aria, a form by which famous singers typically perform variations of the thematic matter of the aria in the recapitulation section ('B section' / the 'da capo' part)."
1,How was this achievement of advancing culture undertaken ?,"In any case, Alexander's toppling of the Achaemenid Empire, after his victories at the battles of the Granicus, Issus and Gaugamela, and his advance as far as modern-day Pakistan and Tajikistan, provided an important outlet for Greek culture, via the creation of colonies and trade routes along the way."
1,What is Lie Saint-Jean called today?,"The British also continued the process of deporting the Acadian population with a wave of major operations against Île Saint-Jean (present-day Prince Edward Island), the St. John River valley, and the Petitcodiac River valley."
1,"What word literally means ""born of a wolf?""","The meaning of the epithet ""Lyceus"" later became associated with Apollo's mother Leto, who was the patron goddess of Lycia (Λυκία) and who was identified with the wolf (λύκος), earning him the epithets Lycegenes (/laɪˈsɛdʒəniːz/ ly-SEJ-ə-neez; Λυκηγενής, Lukēgenēs, literally ""born of a wolf"" or ""born of Lycia"") and Lycoctonus (/laɪˈkɒktənəs/ ly-KOK-tə-nəs; Λυκοκτόνος, Lykoktonos, from λύκος, ""wolf"", and κτείνειν, ""to kill"")."
0,What is the second-largest employer in Tucson?,"Its presence, as well as the presence of the US Army Intelligence Center (Fort Huachuca, the largest employer in the region in nearby Sierra Vista), has led to the development of a significant number of high-tech industries, including government contractors, in the area."
1,What other languages are popular among American students?,"More than 1.4 million university students were enrolled in language courses in autumn of 2002 and Spanish is the most widely taught language in American colleges and universities with 53 percent of the total number of people enrolled, followed by French (14.4%), German (7.1%), Italian (4.5%), American Sign language (4.3%), Japanese (3.7%), and Chinese (2.4%) although the totals remain relatively small in relation to the total U.S population."
1,Ibn al-Haytham and Roger Bacon were scientists in which time period?,"While empirical investigations of the natural world have been described since classical antiquity (for example, by Thales, Aristotle, and others), and scientific methods have been employed since the Middle Ages (for example, by Ibn al-Haytham, and Roger Bacon), the dawn of modern science is often traced back to the early modern period and in particular to the scientific revolution that took place in 16th- and 17th-century Europe."
1,What numbered season did Arenafootball2 in 2009?,"Although the Arenafootball2 league played its tenth season in 2009, a conference call in December 2008 resulted in enough votes from owners and cooperation from the AFLPA for the AFL to suspend the entire 2009 season in order to create ""a long-term plan to improve its economic model""."
0,What was the bandwidth of AT&T's Picturephone?,"Attempts at using normal telephony networks to transmit slow-scan video, such as the first systems developed by AT&T Corporation, first researched in the 1950s, failed mostly due to the poor picture quality and the lack of efficient video compression techniques."
1,What battle did King Henry leave for in 1415?,"Prior to King Henry's departure for the Battle of Agincourt in 1415, the ringleaders of the ""Southampton Plot""—Richard, Earl of Cambridge, Henry Scrope, 3rd Baron Scrope of Masham, and Sir Thomas Grey of Heton—were accused of high treason and tried at what is now the Red Lion public house in the High Street."
1,Where can participant observation take an anthropologist?,"They use many different methods of study, but modern population genetics, participant observation and other techniques often take anthropologists ""into the field,"" which means traveling to a community in its own setting, to do something called ""fieldwork."""
1,What did John inherit in England?,"John inherited a sophisticated system of administration in England, with a range of royal agents answering to the Royal Household: the Chancery kept written records and communications; the Treasury and the Exchequer dealt with income and expenditure respectively; and various judges were deployed to deliver justice around the kingdom."
1,What treaty addresses nuclear weapons?,"They are also the only recognized ""Nuclear Weapons States"" under the Nuclear Non-Proliferation Treaty, and maintain military expenditures which are among the largest in the world."
0,When was the Jerome Park Reservoir built?,"Also in the northern Bronx, Wave Hill, the former estate of George W. Perkins—known for a historic house, gardens, changing site-specific art installations and concerts—overlooks the New Jersey Palisades from a promontory on the Hudson in Riverdale."
0,Which group is a counterpart to NATO?,"The Treaty declared that any attack on one of the three parties in the Pacific area would be viewed as a threat to each, and that the common danger would be met in accordance with each nation's constitutional processes."
1,What did Kazusanosuke mean?,"For example, the full name of Oda Nobunaga would be ""Oda Kazusanosuke Saburo Nobunaga"" (織田上総介三郎信長), in which ""Oda"" is a clan or family name, ""Kazusanosuke"" is a title of vice-governor of Kazusa province, ""Saburo"" is a formal nickname (yobina), and ""Nobunaga"" is an adult name (nanori) given at genpuku, the coming of age ceremony."
1,What equestrian event has Valencia hosted?,"In addition to these Valencia has hosted world-class events that helped shape the city's reputation and put it in the international spotlight, e.g., the Regional Exhibition of 1909, the 32nd and the 33rd America's Cup competitions, the European Grand Prix of Formula One auto racing, the Valencia Open 500 tennis tournament, and the Global Champions Tour of equestrian sports."
1,What are common diameters found in phonograph records?,"Phonograph records are generally described by their diameter in inches (12"", 10"", 7""), the rotational speed in rpm at which they are played (16 2⁄3, 33 1⁄3, 45, 78), and their time capacity resulting from a combination of those parameters (LP – long playing 33 1⁄3 rpm, SP – 78 rpm single, EP – 12-inch single or extended play, 33 or 45 rpm); their reproductive quality or level of fidelity (high-fidelity, orthophonic, full-range, etc.), and the number of audio channels provided (mono, stereo, quad, etc.)."
1,What year was victorias final child born?,"Victoria was so impressed by the relief it gave from the pain of childbirth that she used it again in 1857 at the birth of her ninth and final child, Beatrice, despite opposition from members of the clergy, who considered it against biblical teaching, and members of the medical profession, who thought it dangerous."
1,What does NCDC stand for?,"Annual events include Dance Marathon, a thirty-hour event that raised more than a million dollars for charity in 2011; and Project Pumpkin, a Halloween celebration hosted by the Northwestern Community Development Corps (NCDC) to which more than 800 local children are invited for an afternoon of games and sweets."
1,What is unusual about I-19?,"I-19 is the only Interstate highway that uses ""kilometer posts"" instead of ""mileposts"", although the speed limits are marked in miles per hour instead of kilometers per hour."
1,Comcast owns what movie studio?,"Entertainment Television, the Golf Channel, and NBCSN), over-the-air national broadcast network channels (NBC and Telemundo), the film production studio Universal Pictures, and Universal Parks & Resorts, with a global total of nearly 200 family entertainment locations and attractions in the U.S. and several other countries including U.A.E., South Korea, Russia and China, with several new locations reportedly planned and being developed for future operation."
1,What percent of household have children under 18?,"There were 46,917 households, out of which 7,835 (16.7%) had children under the age of 18 living in them, 13,092 (27.9%) were opposite-sex married couples living together, 3,510 (7.5%) had a female householder with no husband present, 1,327 (2.8%) had a male householder with no wife present."
0,What area did the Hasan-jalalians command?,"In the early 12th century, Armenian princes of the Zakarid noble family drove out the Seljuk Turks and established a semi-independent Armenian principality in Northern and Eastern Armenia, known as Zakarid Armenia, which lasted under the patronage of the Georgian Kingdom."
1,Who took over for Thatcher?,"The tax was quickly repealed by her successor John Major, whom The Sun initially supported enthusiastically, believing he was a radical Thatcherite – despite the economy having entered recession at this time."
0,How long is Newtown Creek in kilometers?,"One of the most heavily used bodies of water in the Port of New York and New Jersey, it had been one of the most contaminated industrial sites in the country, containing years of discarded toxins, an estimated 30 million US gallons (110,000 m3) of spilled oil, including the Greenpoint oil spill, raw sewage from New York City's sewer system, and other accumulation."
0,What fed US hysteria about terrorism?,"Other critics, such as Francis Fukuyama, note that ""terrorism"" is not an enemy, but a tactic; calling it a ""war on terror"", obscures differences between conflicts such as anti-occupation insurgents and international mujahideen."
